id,relation,flag,vector
0,verb_past,0,"[-0.11710886, -0.018653017, 0.09447838, 0.04492578, -0.012711268, 0.0228028, -0.13521221, 0.059330672, 0.010282064, -0.00853687, -0.07469458, 0.014620942, -0.030420829, 0.12690046, 0.00801868, 0.0791374, -0.063074745, 0.12021332, -0.022629173, -0.007857071, -0.04322065, 0.06117277, -0.038591467, -0.07695968, 0.029467663, 0.24275309, 0.11353581, 0.082960516, -0.036966287, 0.042086016, -0.061859008, -0.089563176, 0.014974246, 0.07802032, 0.03897546, 0.011388753, 0.040220134, 0.06885984, -0.060160063, 0.030941006, 0.055555783, -0.00778858, 0.17878234, 0.11237578, 0.063319035, -0.05911848, 0.069765374, -0.019508965, 0.16527933, 0.057469137, 0.0472603, 0.019827977, 0.03573008, 0.053974956, 0.15294212, -0.008174316, 0.10845855, 0.011268927, -0.18099383, -0.003746327, 0.0924529, -0.09673895, -0.013038671, 0.0892344, 0.053020198, -0.043480016, -0.0075959116, 0.045557395, 0.09306328, -0.0700062, 0.06881173, 0.008543944, 0.053471196, 0.06720616, 1.6587507E-4, 0.025907425, -0.12008674, -0.072196886, -0.08012353, 0.026339209, 0.12035228, 0.030098308, 0.0068550874, 0.030349571, 0.1639553, -0.018879488, -0.052579604, -0.041893408, 0.083443314, 0.1548581, -0.085146345, -0.09969871, 0.1506244, 0.08966292, 0.021194333, 0.06524646, 0.065748185, -0.034700114, 0.029442687, 0.031125356, 0.1128228, -0.102643006, -0.05961375, -0.002680187, 0.005194526, -0.12078999, 0.03495552, -0.033926703, -0.076814614, -0.038296524, -0.033125825, 0.055468027, -0.0074414527, 0.015713876, -0.065866925, -0.050854236, -0.105737805, -0.038508326, 0.070440814, 0.01624965, -0.0053939307, 0.09312937, 0.06982945, 0.10930523, -0.14071007, 0.07302837, -0.019332904, -0.035628956, 0.03936218, -0.11929228, 0.0069719194, -0.013113022, -0.0022796765, 0.04937239, 0.022226505, 0.100289375, -0.11171843, -0.15942395, -0.05901867, -0.03329394, -0.07846065, 0.014644636, -0.06317269, -0.06068118, -0.03299237, 0.033428155, -0.026982857, -0.025796082, -0.07232767, 0.059940748, -0.0983174, -0.031958036, 0.05668623, -0.021370739, -0.002159072, 0.036332794, -0.08966944, -0.04188992, 0.062153462, 0.040159114, -0.099331446, 0.036281936, -0.03737542, -0.097038984, 0.1039574, 0.05932852, -0.067031175, -0.06794828, -0.007878475, 0.17685893, -0.036701404, -0.016487487, 0.017132718, 0.045159064, 0.08854393, -0.0012591942, 0.02476063, -0.20055473, 0.007296288, -0.0047621783, -0.05520951, 7.897699E-4, -0.1315502, 0.07631764, -0.123181954, -0.15252481, -0.02206827, -0.06272347, -0.11123197, 0.08080703, 0.15980092, 0.029384188, 0.048492394, 0.097566925, 0.03818258, -0.02417256, -0.058325306, 0.03204047, 0.06448311, -0.08833921]"
1,verb_past,0,"[-0.0025686524, 0.12769334, 0.014577154, 0.05229836, -0.032298543, -0.008565819, 0.05390741, 0.045164853, 0.032426495, -0.0063731545, -0.037003733, -0.020997819, 0.018654957, 0.05132259, 0.03332317, -0.0067102085, -0.023569154, 0.15395695, -0.042039897, -0.03576576, -0.06447852, 0.06244444, -0.043857053, 0.028157089, 0.112282924, 0.0468648, 0.068610564, 0.021039415, -0.007099495, 0.0030673528, 0.0017314237, 0.014998248, 0.047045507, -0.024798855, 0.0076626837, 0.042752866, 0.027712652, 0.036418363, -0.009370463, -0.04845989, 0.040626455, -0.02902048, 0.11567332, 0.041641437, 0.00905404, -0.043321382, -0.018479243, -0.122900456, 0.08933543, 0.06877823, 0.07976638, -5.43735E-4, 0.06424254, -0.06997186, 0.1331927, -0.01090832, 0.04413962, 0.031888835, -0.020274822, 0.02305212, 0.1016018, -0.020744262, -0.07115909, -0.049370795, 0.023126224, -0.06277914, 0.014315367, 0.03750096, 0.013259878, -0.03737069, 0.1301994, 0.041408256, -0.020930782, -0.011972284, -0.09152816, 0.030925673, -0.055109657, -0.050381888, -0.06764061, 0.063331544, -1.6523432E-4, -0.010090331, 0.04424164, 0.10851989, 0.028620005, -0.115770265, -0.006749379, 0.051939063, 0.093370385, 0.14624944, -0.08894353, -0.019483497, 0.0996294, 0.04015544, -0.042111717, -0.021954466, 0.06136421, -0.035315473, 0.07819135, 0.03439877, 0.04410506, 0.009501583, 0.0035289945, 0.017935349, 0.017938703, -0.041972447, 0.021315005, 0.031967875, 0.006387092, 5.8291806E-4, 0.012161013, -0.017342057, -0.1008073, 0.024494538, 0.010038961, 0.07064148, 0.065238684, -0.050499577, 0.054445207, 0.05871017, 0.07686967, 0.0013862965, 5.000271E-5, 0.06472163, -0.09103117, 0.011016222, -0.016203078, -0.08373168, -0.080749765, -0.046197176, -0.07112044, 0.008209943, -0.05894868, 0.062193155, 0.015701335, -0.0030345242, -0.15303957, -0.08301722, 0.014076984, 0.018511064, 0.019646658, 0.03142528, -0.034901172, -0.012342852, 0.056736376, 0.06410204, 0.037571028, -0.00911156, 0.004290805, -0.077545576, -0.027753001, -0.02605011, 0.023942962, 0.050434865, 0.072566085, 0.008953134, -0.008151824, 0.07720435, -0.066640384, -0.03336035, -0.009641168, 0.06334261, -0.041973762, -0.043158967, -0.037184313, -0.013000062, -0.02199522, -0.0045625037, -0.05990262, 0.061144155, 0.024474658, -0.01613327, 3.1726435E-4, 0.061063476, 0.0084459735, 0.0703293, 0.039188273, -0.024222542, -0.0068754023, 0.0539494, -0.09328455, 0.046275917, -0.097665966, 0.0034575062, -0.078926235, -0.060318302, 0.023220692, -0.05513185, -0.02964208, 0.04336896, 0.0320191, -0.003823631, 0.013582129, 0.02235027, 0.071374506, 0.0067030545, -0.020520778, 0.012871192, 0.0815953, -0.043935794]"
2,verb_past,0,"[-0.023147581, 0.15028685, -0.013860987, 0.07598806, -0.044951197, -0.0031716726, 0.056718346, 0.048425455, 0.02956774, -0.002947703, -0.0014389865, -0.03129294, 0.013611048, 0.024897626, 0.010834636, -0.029695846, -0.023816265, 0.16390203, -0.0138971675, 0.025052914, -0.043341734, 0.09892515, 0.001119597, -0.030966815, 0.110499814, 0.10287387, 0.05066142, -0.014646977, -0.023070278, -0.056880794, -0.011976922, 0.025288055, 0.019719828, 0.003961456, 0.0036072123, 0.0020659072, 0.021356119, 0.09224845, -0.018853016, -0.047262512, 0.054368164, -0.012895326, 0.111753225, 0.05138809, -0.0054284376, -0.04058958, 0.016243173, -0.11438985, 0.104241505, 0.07158686, 0.102830455, 0.004663654, 0.07786935, -0.052697282, 0.12992197, 0.004207589, 0.04286927, 0.004915413, -0.0087213805, 0.019627014, 0.1640415, -0.016936246, -0.049878433, -0.04175121, 0.042804383, -0.04117328, -0.010319545, -0.013244461, -0.039653275, -0.045274023, 0.07722605, 0.016352205, -0.03526242, 0.0033463347, -0.10492197, 0.04886289, -0.010650388, -0.014590277, -0.061056513, 0.020004857, -0.016368132, 0.031903926, 0.061596036, 0.11591555, 0.018505564, -0.11108139, -0.020051036, 0.09122582, 0.07364846, 0.14524832, -0.105281845, -0.03499411, 0.154229, 0.03592259, -0.022519844, -0.033081833, 0.03825207, -0.06797019, 0.10252758, 0.062148668, 0.018016288, -8.204542E-4, -0.018393405, 0.0071454654, 0.0697276, -0.066082016, 0.022303518, 0.06580035, 0.056624297, -0.06302048, 0.025651515, -0.05636979, -0.15208739, -2.8948858E-4, -0.006393083, 0.09134118, 0.07694803, -0.04859002, 0.057475105, 0.04938525, 0.115801446, 0.01863709, 0.022082059, 0.10363764, -0.10609391, -0.011648769, -0.048343793, -0.079033054, -0.053948205, -0.049801078, -0.08772134, 0.03685919, -0.044865564, -0.0054877126, 0.010207073, 0.038546678, -0.12615867, -0.053504154, 0.044570964, 0.02381793, 0.028934093, 0.06846149, -0.010236805, -0.03625583, 0.07144794, 0.10623345, -0.007930643, 0.008854405, -0.0026848342, -0.07876892, -0.033786576, -0.0048443633, -0.0061004083, 0.010260487, 0.12924494, 0.051416628, -0.032219566, 0.11582701, -0.065331206, 0.00900686, 0.024403274, 0.07136655, -0.02042412, -0.04177133, -0.016100423, 0.022429215, -0.04918238, -0.06568963, -0.07821756, 0.036144406, 0.05227088, 0.008986036, -0.035452183, 0.0787902, -0.037806053, 0.064544626, 0.0042552147, -0.05203744, -0.03215521, 0.051753048, -0.11499497, 0.0037269967, -0.12577184, -6.758356E-4, -0.034098387, -0.08971877, -0.0044477605, -0.040782, -0.005390554, 0.08972402, 0.02480238, -0.028072443, 0.014596362, -0.017683866, 0.11140198, -0.026391745, -7.680295E-4, 0.029988188, 0.09770764, -0.040096957]"
3,verb_past,0,"[-0.010597024, 0.11366438, -0.021560555, 0.011742406, -0.020954916, 0.057966966, 0.06547366, 0.093104005, 0.0068161166, 0.007981631, -0.021093754, -0.06656161, -0.001046725, 0.06357209, 0.030545784, 0.0017708974, -0.031726126, 0.055733044, 0.04536502, -0.05197665, 0.013665882, 0.0037703887, 0.051629215, -0.027404109, 0.053153615, 0.03337501, 0.034165163, 0.008441473, -0.007179603, -0.012687497, -0.016281262, 0.0117789805, 0.061325256, -0.041104484, 0.0032541268, -0.060568172, 0.032602523, 0.030959135, -0.009522174, 0.0021372836, 0.01969704, 0.027978925, 0.08389321, 0.020087453, 0.06113517, 0.05221476, 0.063048445, -0.07746018, 0.05645569, 0.054404765, 0.02499479, -0.016192866, 0.07692481, -0.051386837, 0.07864908, -0.100496255, 0.037666548, -0.012882127, -0.11408633, 0.011095661, -0.018665845, -0.0616477, -0.019301943, -0.062791474, 0.036787782, 0.049824756, 0.04650854, -0.009487927, -0.013793501, 0.012857988, 0.05141445, 0.043551553, -0.008209367, 0.025095018, -0.056403518, -0.0010437301, -0.06740456, -0.11180234, -0.051198125, 0.023639046, -0.02930153, -0.053849827, 0.03441051, 0.06299717, 0.02198934, -0.0493087, -0.02411672, 0.05890085, 0.033395033, 0.14643566, -0.02022543, -0.04751727, 0.10719088, 0.04908513, -0.038522746, 2.5854446E-4, 0.048828825, 0.014158511, 0.012566134, -0.018379224, 0.06991173, 0.02852154, 0.0032353376, 0.044712197, 0.0011718447, -0.03866492, 0.08162745, 0.06696237, 0.002623034, 0.05563994, 0.0032225202, 0.01726897, -0.044269532, -0.028920805, 0.009302155, 0.093679726, 0.045538668, -0.06422443, 0.045362413, -0.007955761, 0.026787462, 0.094861865, -0.011161442, 0.087193705, -0.035429403, -0.016512537, 0.02822633, -0.0340108, 0.004078788, -0.03558783, -0.027506063, -0.002087808, -0.0477353, 0.0056096, -0.009540307, 0.010660346, -0.016238948, 0.040949892, 0.023142962, 0.020907877, -0.053896505, 0.022139726, 0.006138973, -0.04816666, 0.032912385, 0.03887659, -0.027980918, 0.053026635, -0.046655577, -0.104625165, -0.04131374, -0.0069609396, 0.040874816, -0.015102002, -0.022715958, 0.021123087, -0.021831809, 0.0042011663, -0.09101445, 0.07005728, -0.0151597345, 0.08520589, -0.002358836, -0.031820606, 0.005602069, -0.07981194, -0.011690197, -0.03059153, -0.04885526, -0.022111664, 0.0066867773, -0.0056658047, -0.032169964, 0.04494937, 0.042121794, 0.06303997, 0.017367462, -0.041826133, -0.044816505, -0.0060791965, -0.051016282, 0.026998078, -0.0957006, 0.043217618, -0.049637835, -0.06771835, 0.05298215, -0.07452122, 0.050346103, 0.028756032, 0.0047500283, 0.026062226, 0.03287762, -0.02175626, 0.008325391, 0.039043944, -0.015669333, 0.018097961, 0.03568949, -0.04522558]"
4,verb_past,0,"[-0.10412602, -0.0222889, 0.059440583, 0.03389726, 0.07974821, -0.076310664, -0.13033712, -0.0086415345, -0.006061904, -0.05592305, -0.039137732, 0.01769393, 0.07590051, 0.026237838, 0.079344794, 0.08979684, -0.0614695, 0.08094373, 0.079182096, 0.07161617, 0.10580017, 0.0357306, 0.087598205, 0.062247965, 0.06915068, 0.16956732, 0.059341006, -0.025432825, -0.09116825, 0.04608917, -0.081619464, -0.021388438, 0.027962662, 0.04095926, -0.027753957, -0.14384283, 0.053291995, -0.024576666, 0.029097458, 0.0040141493, 0.1303425, 0.046853002, 0.2513892, -0.02288287, 0.009913383, 0.0049568308, -6.887615E-4, 0.09425417, 0.09129961, -0.010831479, 0.042969644, -0.042564165, 0.020400748, -0.02607066, 0.15059987, 0.010330774, 0.02377211, 0.08466931, -0.02645775, 0.04042193, 0.05167193, -0.085271165, -0.18303, 0.13955691, -0.10974319, 0.14503115, 0.059242833, 0.052195586, -0.06796807, -0.04347247, -0.11782002, 0.0034289137, -0.018723994, 0.06575935, 0.002944527, 0.05598535, -0.16978724, 0.08298806, -0.015189113, 0.13763234, 0.030103594, 0.10506004, 0.071605355, 0.11999205, 0.19090351, 0.06942281, 0.026908658, 0.03183435, 0.055834576, 0.031096898, -0.083277754, -0.13576326, 0.078453004, 0.109930575, 0.016887475, 0.042687453, 0.102834985, 0.064578705, -0.051740073, 0.09656875, 0.17444904, -0.077874765, -0.06934808, 0.060319938, -0.017923325, 0.041201904, -0.025683705, 0.13351482, 0.087770894, 0.051305126, -0.062567346, 0.2086322, 0.12127125, -0.10035644, 0.07302616, -0.04887613, -0.0012805536, -0.05255786, -0.06987097, 0.05686851, -0.07784743, 0.11712651, -0.0025616048, 0.21293798, -0.055388536, -0.10200586, -0.001412861, -0.057287186, -0.05554454, -0.03866585, 0.05033273, 0.10494611, -9.6286833E-4, -0.07304284, 0.04079673, -0.030326229, -0.00126338, -0.18580964, 0.12807772, -0.034487642, 0.07625279, -0.046561584, -0.09104464, 0.075558335, -0.00350108, 0.18211775, -0.01863759, -0.14668666, -0.20530656, 0.011968695, -0.074218184, 0.040161658, -0.07701786, -0.11198631, 0.004538931, -0.05241287, -0.10947114, 0.08623862, 0.18539026, 0.1511326, 0.048397396, 0.16017336, 0.047431625, -0.026872844, 0.10531544, -0.058406964, -0.15901545, 0.02137741, 0.060218554, 0.08645947, 0.044093184, -0.047053136, 0.14780268, 0.1582838, 0.12678087, -0.106074795, 0.07880578, -0.045804005, -0.07827373, 0.031406764, -0.04383438, 0.10513457, -0.14260595, 0.07365109, -0.28439912, -0.14851326, 0.09255725, 0.040949907, 0.011825912, 0.081533685, -0.026859265, 0.020924538, 0.026323885, 0.13325317, -0.07989371, -0.08490829, -0.019994168, -0.12417395, 0.012248866, -0.1794353]"
5,verb_past,0,"[-0.094230875, 0.076841734, 0.056945477, 0.0631113, -0.05836068, 0.015049264, -0.012338339, 0.02462056, 0.022835447, 0.015577564, -0.060015503, -0.05337667, -0.008543264, 0.043566465, 0.047862634, 0.021477768, -0.05111333, 0.1497762, 0.0024139066, 0.0057328427, -0.03807377, 0.052456062, -0.028125932, -0.075246006, 0.090541616, 0.12934059, 0.049972117, 0.06561939, -0.020055883, 0.011341452, 0.035296872, -0.05534868, 0.03572112, 0.036090676, 0.022420773, -7.103585E-4, 0.047214076, 0.075356334, -0.035255786, 0.0019439172, 0.049677607, -0.026774002, 0.13483807, 0.0664469, 0.057986025, -0.07133199, 0.01436035, -0.08853453, 0.15365006, 0.03245174, 0.096220426, 0.0335022, 0.072391964, -0.040474713, 0.13262704, -0.0027650855, 0.07897702, 0.046579618, -0.08079406, 0.0329893, 0.11094042, -0.042897087, -0.03537129, 0.0020736977, 0.059653282, -0.044349525, -0.0016008604, 0.043657854, 0.053736355, -0.10021269, 0.07293748, 0.07476019, 0.040972386, 0.037033986, -0.05448019, 0.035990093, -0.1129098, -0.04750869, -0.09693011, 0.08452551, 0.05237868, 0.0049944217, 0.022333441, 0.11348181, 0.07782519, -0.1113468, -0.044688992, 0.007779005, 0.1253253, 0.13816826, -0.07119564, -0.04168562, 0.11879806, 0.06611001, 0.019818101, -0.0015871649, 0.06597573, -0.0486644, 0.012826273, 0.0076527703, 0.08766044, -0.018878195, -0.03149102, -0.009191378, 0.023559151, -0.061707057, 0.062112257, 0.022719111, -0.029938716, -0.0043304893, -0.038545396, 0.019989839, -0.036963895, 0.020868689, -0.017109998, 0.021098962, -0.029628836, 0.016043982, 0.010146569, 0.019487133, 0.051302288, 0.055450864, -0.03538318, 0.15763745, -0.05518643, -0.029708024, -0.05283862, -0.0347895, -0.026062926, -0.117264524, -0.035619743, -0.00917663, -0.017806096, 0.046609517, 0.014767642, 0.046175044, -0.14911224, -0.1144675, 0.029106678, 0.008575848, 0.032862578, 0.041230477, -0.033649527, -0.040782746, 0.0054411152, 0.050103247, -0.04532552, 0.061691318, -0.030521415, 0.004858992, -0.059189744, -0.041291878, 0.0103627285, 0.0723225, 0.05836012, -0.008467675, -0.08519173, 0.05169358, 0.0048856344, -0.024169575, -0.0041712974, 0.08474315, 0.012043057, -0.07889152, 0.012815876, -0.008320353, -0.067646526, -0.059662934, -0.037936892, 0.066134155, 0.014358526, -0.041244105, 0.03485603, 0.02881576, 0.031885102, 0.0028589182, 0.045444302, -0.11076575, -0.018999984, 0.023641208, -0.057928797, 0.019740889, -0.060996413, 0.04946405, -0.083397835, -0.11001321, -0.03754266, 0.035137434, -0.030771883, 0.076008104, 0.093686074, -0.0111839725, 0.07071186, 0.053003628, 0.065239474, 0.0069535878, -0.027144631, 0.02615529, 0.11235972, -0.051530845]"
6,verb_past,0,"[-0.04289915, 0.005768468, 0.009004629, 0.04446015, -0.021532575, -0.008085118, 0.06268419, 0.019627243, -0.0055771004, 0.057682674, -0.040921018, -0.056846924, -0.016996656, -0.012839354, 0.052959662, 0.008001907, -0.018078083, 0.086869486, -0.0033635923, -0.07216079, -9.463798E-4, 0.041897215, 0.03643199, -0.07088733, 0.028288119, 0.079278804, 0.06897283, 0.041338537, -0.012730956, -0.023218, -0.033180073, -0.020879181, 0.015884062, 0.0442384, 0.04045275, 0.02254205, 0.015039613, 0.033480424, -0.07672209, 0.0064075855, 0.017083857, -0.006525023, 0.09805615, 0.013829779, 0.09084506, -0.021410273, -9.855574E-4, -0.05616229, 0.13284805, -0.010880747, 0.08256571, 0.021384386, 0.05324747, -0.038145207, 0.072417565, 0.0074136723, 0.062010996, 0.05048724, -0.118713975, 0.05139368, 0.13393185, -0.01889512, -0.002735593, 0.017547924, 0.0027861905, 0.012548912, 0.004901444, 0.078741506, 0.012691195, -0.0061683315, 0.008566774, 0.05392852, 0.0071444786, 0.025440952, -0.044963032, 0.041221566, -0.045672577, -0.027133895, -0.07762767, 0.03330716, 0.04308796, 0.0051154424, -0.015225798, 0.048660528, -0.032547582, -0.07374081, -0.02984605, 0.043794014, 0.035903785, 0.086074054, 0.008222699, -0.12060063, 0.09153872, -0.009334656, -0.01934713, 0.009139586, 0.051312704, -0.005592712, 0.037832122, -0.01830147, 0.06960167, -0.010517172, -0.009032283, -0.025475876, -0.010021976, -0.0631514, 0.05555919, 0.054607734, 0.027284654, 0.021894952, 0.012670225, 0.037099164, -0.03309059, 0.039112523, 0.0077378633, 0.030048367, -0.046986006, 0.017122293, -0.030081587, 0.012886477, -0.023909194, 0.07865223, -0.050938096, 0.12272343, -0.041182835, -0.014157987, -0.004409627, -0.01914106, -5.996724E-4, -0.07888958, -0.055029552, -0.033993177, -0.0022379393, 0.028783672, -0.015550014, 0.010659733, -0.086608164, -0.06400854, 0.017046593, 0.010324895, 0.002243157, 0.026496882, -0.013508015, -0.05092548, -0.022931196, 0.04217164, -0.05884029, 0.03916314, -0.080080435, -0.016678158, -0.044993732, 0.013344344, 0.058747657, 0.019129148, 0.08553105, 0.0518865, -0.07648957, 0.07332189, -0.011374554, 0.0027030343, 0.019179948, 0.013503962, 0.031914625, -0.04579701, 0.06613967, -0.07201162, -0.001949201, -0.017998258, -0.08749656, -0.004711246, 0.061674133, -0.0026492493, 0.022975918, -0.0014872038, 0.09230252, 0.011378257, 0.09156476, -0.10662959, -0.04088023, -0.014331564, -0.05136605, 0.038253468, -0.08986641, 0.008326169, -0.0245092, -0.08286325, 0.015419442, -0.035413362, -0.024287874, 0.06330702, 0.049693916, 0.06729881, 0.04166995, 0.010231512, 0.07809349, 0.031088315, -0.04072311, 0.039178576, 0.07850058, -0.035645444]"
7,,0,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
8,verb_past,0,"[-0.13167602, 0.07458459, 0.10260275, 0.05359249, 0.009713579, 0.05145595, -0.09188787, 0.022619868, -0.009080758, 0.013260564, -0.04820154, -0.0026148856, -0.030628018, 0.08644442, 0.009265535, 0.031710282, -0.0985741, 0.16561194, 0.012539998, -0.04326097, -0.03208658, 0.02850399, 0.024408404, -0.06153889, 0.019075122, 0.14501575, 0.06263933, 0.02269691, -0.04619826, 0.021289865, 0.0051857606, -0.07080737, 0.06398192, 0.048095338, 0.0696299, 0.0066104922, 0.05054699, 0.04960271, -0.0717741, 0.038116455, 0.055443868, -0.07921001, 0.1595573, 0.068390265, 0.10904525, -0.06403519, 0.07260481, -0.011818394, 0.15641928, 0.028834525, 0.056220457, 0.03655609, 0.032562323, 0.017421333, 0.12908813, -0.04045238, 0.096159436, 0.029793708, -0.14929299, 0.025363935, 0.09836433, -0.07987543, -0.019806579, 0.0682645, 0.0458545, -0.013175545, 0.048909873, 0.11478874, 0.08613232, -0.14147702, 0.074144386, 0.00669384, 0.09251665, 0.048654117, -0.00414202, 0.03137361, -0.07406427, -0.07330164, -0.12001379, 0.03423426, 0.12386239, -0.014319478, 0.009488745, 0.013264816, 0.14419413, -0.02244873, -0.09377362, -0.039905846, 0.07900949, 0.18944818, -0.044882722, -0.04029116, 0.12527993, 0.101847164, 0.003597824, -0.0023228023, 0.08312949, 0.0093199285, 0.052197397, 0.018004615, 0.11759893, -0.061821822, -0.057777848, -0.017867867, 5.20302E-4, -0.111447886, 0.06383675, 0.010620921, -0.017034335, 0.017477904, 0.011063142, 0.070955545, 0.022239093, 0.003746409, 0.0011150166, -0.04928177, -0.07195829, -0.05926807, 0.04610414, 0.06605563, -0.033482924, 0.04849138, 0.010455657, 0.08678449, -0.071626484, 0.007495514, -0.033199236, 0.022628125, 0.03542811, -0.11286486, 0.02007287, -0.0053900946, 0.011522664, 0.08212424, -0.05741786, 0.029246138, -0.08550906, -0.14190808, -0.047450572, -0.0096344855, -0.09515455, 0.0037296014, -0.006564822, 0.0070158965, -0.03760162, 0.05981389, -0.041380983, 0.006530253, -0.017329669, 0.07152325, -0.15776692, -0.025031507, -0.01701029, 0.02090362, 0.01895551, -0.005578438, -0.07422243, -0.027457802, 0.011097211, 0.066999614, -0.05322521, 0.0733963, -0.016795173, -0.11407359, 0.0956001, 0.010805853, -0.04346859, -0.047219, -0.020480314, 0.087638624, -0.013495976, -0.04994984, 0.007890619, 0.06393209, 0.11880942, -0.020842295, 0.10008825, -0.16785306, -0.045941208, -0.015736938, -0.0049986728, 0.05955665, -0.119002916, 0.064283475, -0.1663916, -0.13195859, 0.030759154, -0.013741554, -0.08517076, 0.10273062, 0.15578172, 0.010466669, 0.06633112, 0.092204385, 0.0036267824, 0.054248407, -0.07499883, -0.01259123, 0.05832977, -0.12374112]"
9,verb_past,0,"[-0.0475784, 0.09293229, 0.0033953767, 0.08929909, -0.032529783, 0.032937307, 0.037385147, 0.043652136, 0.04266817, -0.0054918816, -0.04508722, -0.042610534, 0.0044257008, 0.023754891, 0.029656557, 0.003572794, -0.07150744, 0.10477937, 0.0035760424, -0.009612877, 0.002000967, 0.05614804, 0.03018649, -0.03516372, 0.110957645, 0.10474632, 0.057300676, 0.020628855, -0.022584774, -0.026467768, 0.006163302, -0.019968132, 0.04384187, 0.023764804, 0.030619502, -0.0049903006, 0.05262323, 0.052948575, -0.008282207, -0.014651856, 0.04968819, 0.0064463587, 0.13467629, 0.061969053, 0.039100666, -0.040347777, 0.016607048, -0.08408472, 0.099953234, 0.030762883, 0.06935866, 0.004950789, 0.0762445, -0.05947033, 0.13113363, -0.007841983, 0.025300747, 0.037536614, -0.08427156, 0.027073255, 0.09562713, -0.045992162, -0.037968952, 0.0044095884, 0.03523182, -0.030635742, 0.02215847, 0.009597423, -0.016145684, -0.033719916, 0.07220775, 0.05442305, -0.0132248, 0.014517002, -0.04818787, 0.029089017, -0.07523896, -0.026938656, -0.08985733, 0.05865826, 0.010752571, 0.014119338, 0.055234283, 0.074713096, 0.017276198, -0.0744966, -0.009900887, 0.051787764, 0.087428875, 0.13941915, -0.11640319, -0.051734146, 0.14188439, 0.035401385, 0.026502848, -0.015054224, 0.053424574, -0.044869795, 0.03052936, 0.029111715, 0.061832637, -0.0076113967, -0.016317215, 0.0141151305, 0.07394966, -0.07094867, 0.047142737, 0.06224346, 0.0063649174, -0.020673344, 0.00468814, -0.028953752, -0.06525421, 0.01484441, -0.016502917, 0.050794404, 0.028077347, -0.011461153, 0.027168378, 3.9521125E-4, 0.06387061, 0.062184855, -0.022613145, 0.12809336, -0.05148412, -0.0014300318, -0.004765683, -0.035244852, -0.054028846, -0.08969324, -0.060666807, 0.010200013, -0.016387984, 0.012850667, -0.0024672144, 0.0071665253, -0.10513024, -0.07405506, 0.038862064, -0.0012350759, 0.06191748, 0.050924353, -0.03444375, -0.0106651345, 0.039501064, 0.069975056, -0.016970858, 0.015177095, -0.053866547, -0.0435787, -0.04548853, -0.010161425, 0.014238389, 0.034797277, 0.08749311, 0.019277649, -0.04752134, 0.049175393, -0.011497505, 4.7748146E-4, 0.0309394, 0.08499527, -0.0071123894, -0.028521106, -0.018405726, -0.01691904, -0.06822447, -0.054864507, -0.07010086, 0.02811186, 0.04519559, -0.0028344025, 0.014885797, 0.044366688, 0.028136753, 0.04049726, 0.026725462, -0.054254442, -0.042248707, 0.016034579, -0.048924476, 0.011770525, -0.09260307, 0.020435631, -0.050658256, -0.12444074, -0.0047430387, -0.019618586, -0.01969699, 0.071593106, 0.06604876, 0.020305794, 0.030761132, 0.02261955, 0.11484565, 0.003270123, -0.012410368, 0.02149507, 0.10458256, -0.04724124]"
